userid,user,pageid,revid,parentid,ns,title,timestamp,comment,texthidden,suppressed,date
10075168,TedderBot,39250531,552961005,552867287,0,2013 Prague explosion,2013-04-30T23:20:08Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-30
10075168,TedderBot,17125709,552839346,552749550,0,Sarabjit Singh,2013-04-30T05:00:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-30
10075168,TedderBot,39244135,552832347,552738028,0,2013 Laurence Olivier Awards,2013-04-30T03:40:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-30
10075168,TedderBot,39165764,552806146,552708234,0,Alex Elisala,2013-04-29T23:40:13Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-29
10075168,TedderBot,39234437,552587939,552520370,0,Kenneth Bae,2013-04-28T16:42:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-28
10075168,TedderBot,39140131,552580262,552515733,0,April 2013 ricin letters,2013-04-28T15:42:09Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-28
10075168,TedderBot,2674908,552477011,552393758,0,Shamshad Begum,2013-04-27T21:42:18Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-27
10075168,TedderBot,39230802,552438350,552371283,0,The Inverse Operation,2013-04-27T16:42:29Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-27
10075168,TedderBot,206120,552417299,552353933,0,Richie Havens,2013-04-27T13:42:16Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-27
10075168,TedderBot,39206304,552392888,552322891,0,Saradha Group financial scandal,2013-04-27T08:42:09Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-27
10075168,TedderBot,784510,552363772,552279683,0,National Library of Wales,2013-04-27T02:42:22Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-27
10075168,TedderBot,22149090,552352699,552263410,0,2013 Malaysian general election,2013-04-27T00:42:13Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-27
10075168,TedderBot,611089,552231628,552144152,0,Shakuntala Devi,2013-04-26T05:42:41Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-26
10075168,TedderBot,24807696,552174561,552089655,0,Fatal dog attacks in the United States,2013-04-25T20:42:28Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-25
10075168,TedderBot,39210456,552151369,552071366,0,2013 Xinjiang ethnic clashes,2013-04-25T17:42:10Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-25
10075168,TedderBot,386166,552113206,552042618,0,Larry Felser,2013-04-25T12:42:14Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-25
10075168,TedderBot,13645948,552090937,552011543,0,Tony Grealish,2013-04-25T08:42:30Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-25
10075168,TedderBot,651615,552090914,552013347,0,Same-sex marriage in France,2013-04-25T08:42:17Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-25
10075168,TedderBot,39200391,552045565,551948849,0,Associated Press false tweet,2013-04-25T00:42:21Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-25
10075168,TedderBot,39185208,552045546,551948565,0,2013 Belgorod shooting,2013-04-25T00:42:13Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-25
10075168,TedderBot,965109,551991761,551912431,0,Chrissy Amphlett,2013-04-24T17:42:19Z,"[[User:TedderBot/CurrentPruneBot|remove stale current-event template]], please see [[WP:CET]]. (bot edit)",NA,NA,2013-04-24
