userid,user,pageid,revid,parentid,ns,title,timestamp,comment,texthidden,date
1670386,Yellowdesk,15185928,1021019209,1020279975,0,Rick Roeber,2021-05-02T12:57:17Z,Zero edits for several days. Removed {{current person}} template.,NA,2021-05-02
1670386,Yellowdesk,32016108,995402226,992749394,0,Michael Hancock (Colorado politician),2020-12-20T21:08:08Z,Removed {{current person}}.  One edit in the last 20 days.,NA,2020-12-20
1670386,Yellowdesk,65005504,994206050,994203766,0,Google services outages,2020-12-14T16:22:42Z,Event concluded. Removed {{current event}}.,NA,2020-12-14
1670386,Yellowdesk,65899041,992023641,991996589,0,2020 UK Championship,2020-12-03T02:08:23Z,Temporal nature of the event is explained in the lede paragraph. Removed superfluous {{current sport}},NA,2020-12-03
1670386,Yellowdesk,65953941,992023522,991581258,0,Opera Cup (2020),2020-12-03T02:07:39Z,Temporal nature of the event is explained in the lede paragraph. Removed superfluous {{current sport}},NA,2020-12-03
1670386,Yellowdesk,62773259,988687210,988686707,0,2020 Penn State Nittany Lions football team,2020-11-14T17:45:59Z,/* at Nebraska */  Wikipedia is not a news source.  Removed Template current sport. The game will be over in an hour or two.,NA,2020-11-14
1670386,Yellowdesk,63136490,970230815,970222649,0,COVID-19 pandemic in the United States,2020-07-30T02:09:05Z,Change from {{current}} to {{current COVID}},NA,2020-07-30
1670386,Yellowdesk,2648009,965730692,965486441,0,Insurrection Act of 1807,2020-07-03T02:33:01Z,convert {{current related}} to {{seealso}},NA,2020-07-03
1670386,Yellowdesk,64268443,965730087,963858141,0,Death of Robert Fuller,2020-07-03T02:27:09Z,Rmoved {{current related}} for failing to indicate related article.,NA,2020-07-03
1670386,Yellowdesk,102607,965729824,965567838,0,Minneapolis–Saint Paul,2020-07-03T02:24:17Z,convert {{current related}} to {{seealso}},NA,2020-07-03
1670386,Yellowdesk,64147784,965729683,965574521,0,"George Floyd protests in Washington, D.C.",2020-07-03T02:22:51Z,convert {{current related}} to {{seealso}},NA,2020-07-03
1670386,Yellowdesk,13087466,965724347,965525482,0,Minneapolis Police Department,2020-07-03T01:41:14Z,convert {{current related}} to {{seealso}},NA,2020-07-03
1670386,Yellowdesk,59331263,960464932,956636239,0,Soldiers' Home in Holyoke,2020-06-03T03:31:04Z,Change from {{current related}} to {{current COVID}},NA,2020-06-03
1670386,Yellowdesk,63384404,955024803,955001055,0,Timeline of the COVID-19 pandemic in May 2020,2020-05-05T14:58:51Z,Convert {{current disaster}} to {{Current COVID}},NA,2020-05-05
1670386,Yellowdesk,63136490,955024694,955024124,0,COVID-19 pandemic in the United States,2020-05-05T14:58:13Z,Convert {{current disaster}} to {{Current COVID}},NA,2020-05-05
1670386,Yellowdesk,63113319,955024547,954976657,0,COVID-19 pandemic in Singapore,2020-05-05T14:57:10Z,Convert {{current disaster}} to {{Current COVID}},NA,2020-05-05
1670386,Yellowdesk,62934766,954347462,938258972,0,2020 Australian Open – Women's legends' doubles,2020-05-01T23:41:09Z,Removed {{current sport}}.  Event concluded.,NA,2020-05-01
1670386,Yellowdesk,62922556,954347378,938291299,0,2020 Australian Open – Men's legends' doubles,2020-05-01T23:40:35Z,Removed {{current sport}}.  Event concluded.,NA,2020-05-01
1670386,Yellowdesk,293487,944458902,944325307,0,Flybe (1979–2020),2020-03-07T23:50:50Z,Removed {{current related}} for failing to indicate in template the related event and topic.   [[Template:Current_related#Guidelines]],NA,2020-03-07
