userid,user,pageid,revid,parentid,ns,title,timestamp,comment,texthidden
39197131,Yapperbot,72739427,1141516792,1141477474,0,54th NAACP Image Awards,2023-02-25T13:00:19Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72850162,1141304219,1141268417,0,Trial of Alex Murdaugh,2023-02-24T11:00:19Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72754842,1141093238,1141057017,0,2023 Veikkausliiga,2023-02-23T09:00:18Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73108298,1141066170,1141023817,0,2023 Nablus clashes,2023-02-23T05:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72210736,1141014988,1140958236,0,"Brandon Miller (basketball, born 2002)",2023-02-22T23:00:18Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73099609,1140890508,1140851927,0,February 2023 North American winter storm,2023-02-22T08:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73093169,1140718428,1140678482,0,2023 Bedford explosion,2023-02-21T12:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72928582,1140462818,1140409445,0,Death of Nicola Bulley,2023-02-20T05:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73063164,1140310454,1140267440,0,2023 Arkabutla shootings,2023-02-19T14:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73044474,1140302047,1140264814,0,2023 Asbury revival,2023-02-19T13:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73074529,1140293221,1140254538,0,2023 Damascus airstrike,2023-02-19T12:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73044710,1139932733,1139883636,0,2023 El Paso shooting,2023-02-17T16:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73044474,1139902900,1139866006,0,2023 Asbury revival,2023-02-17T13:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,12617038,1139858898,1139812620,0,Cielo Vista Mall,2023-02-17T07:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73039774,1139850503,1139809840,0,2023 Scottish National Party leadership election,2023-02-17T06:00:33Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72966040,1139445811,1139402719,0,Humanitarian response to the 2023 Turkey–Syria earthquake,2023-02-15T05:00:31Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,36990360,1139414687,1139365312,0,Rodne Galicha,2023-02-15T01:00:15Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73016176,1139388344,1139334076,0,2023 Lake Huron high-altitude object,2023-02-14T22:00:15Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,1164696,1139262017,1139223089,0,Pierre Palmade,2023-02-14T06:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,71839691,1139176638,1139129554,0,Ferdy Sambo,2023-02-13T20:02:21Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,71526549,1139176634,1139125173,0,Murder of Nofriansyah Yosua Hutabarat,2023-02-13T20:02:20Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73007933,1139141857,1139098298,0,2023 Yukon high-altitude object,2023-02-13T16:00:31Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73000492,1139141854,1139096092,0,2023 Alaska high-altitude object,2023-02-13T16:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72976036,1138999429,1138949103,0,Nduga hostage crisis,2023-02-12T21:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72475971,1138954233,1138919414,0,2022–2023 Peruvian protests,2023-02-12T16:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,73009230,1138914548,1138882220,0,2023 Montana object detection,2023-02-12T10:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72942675,1138874184,1138826573,0,2023 Chile wildfires,2023-02-12T03:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72995747,1138706453,1138664031,0,2023 Ramot Junction attack,2023-02-11T04:00:15Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72986023,1138428416,1138387072,0,2022–23 Qatari Stars Cup,2023-02-09T17:00:15Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72977033,1138364800,1138331744,0,2023 visit by Volodymyr Zelenskyy to the United Kingdom,2023-02-09T08:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72980504,1138359095,1138318596,0,Laval daycare attack,2023-02-09T07:00:16Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72976036,1138294435,1138231905,0,Nduga hostage crisis,2023-02-08T23:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
39197131,Yapperbot,72969167,1138148397,1138113762,0,2023 Solomon Islands protests,2023-02-08T08:00:30Z,"Auto-removing {{current}} - no edits in 5hrs+. The event may still be current, but [[Template:Current|the {{current}} template is designed only for articles which many editors are editing, and is usually up for less than a day]].",NA
